start_index,end_index,video_name,status,baseline_mpjpe_mean_m,baseline_pa_mpjpe_mean_m,baseline_root_l2_mean_m,delta_mpjpe_mean_m,delta_pa_mpjpe_mean_m,delta_root_l2_mean_m,ego_sensor_head_l2_mean_m,mpjpe_mean_m,pa_mpjpe_mean_m,reproj_joint_in_image_mean,reproj_vertex_in_image_mean,root_aligned_mpjpe_mean_m,root_l2_mean_m,root_z_mean_m,metrics_path
450,578,recording_20210907_S04_S03_02_000450_000578_try1,ok,0.1294780969619751,0.047730788588523865,0.3373485803604126,-0.0013920962810516357,0.0,-0.0025252997875213623,0.10299985110759735,0.12808600068092346,0.047730788588523865,0.861111111111111,0.8999999999999999,0.06612762808799744,0.33482328057289124,0.2945214509963989,/public/home/wenxin/egoallo/egoallo_egobody_trajectories/recording_20210907_S04_S03_02/gvhmr_exo/recording_20210907_S04_S03_02_000450_000578_try1_exo_world_optimized_reprojection_debug/metrics.json
578,706,recording_20210907_S04_S03_02_000578_000706_try1,ok,0.11869550496339798,0.06138712912797928,0.30536407232284546,-0.000803634524345398,0.0,-0.00031816959381103516,0.09037923812866211,0.11789187043905258,0.06138712912797928,0.7152777777777778,0.8072463768115942,0.07906027138233185,0.3050459027290344,0.29216307401657104,/public/home/wenxin/egoallo/egoallo_egobody_trajectories/recording_20210907_S04_S03_02/gvhmr_exo/recording_20210907_S04_S03_02_000578_000706_try1_exo_world_optimized_reprojection_debug/metrics.json
706,834,recording_20210907_S04_S03_02_000706_000834_try1,ok,0.07528004050254822,0.05884310603141785,0.3203390836715698,-0.00032470375299453735,0.0,-6.046891212463379e-05,0.09180954843759537,0.07495533674955368,0.05884310603141785,0.6805555555555557,0.7791304347826088,0.06714825332164764,0.3202786147594452,0.3158157467842102,/public/home/wenxin/egoallo/egoallo_egobody_trajectories/recording_20210907_S04_S03_02/gvhmr_exo/recording_20210907_S04_S03_02_000706_000834_try1_exo_world_optimized_reprojection_debug/metrics.json
